Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Keluaran_Game
G.I. Joe: The Rise of Cobra,PS3,2009,Action,Electronic Arts,0.11,0.07,0.0,0.03,0.21,43.0,32.0,4.8,13.0,T,Game Baru
UFC Undisputed 2010,PSP,2010,Fighting,THQ,0.11,0.06,0.0,0.04,0.21,74.0,27.0,7.0,13.0,T,Game Baru
World Series of Poker,PSP,2005,Misc,Activision,0.19,0.0,0.0,0.02,0.21,37.0,6.0,6.4,20.0,E10+,Game Lawas
Rayman Raving Rabbids,X360,2007,Misc,Ubisoft,0.18,0.01,0.0,0.02,0.21,67.0,16.0,7.3,19.0,E,Game Baru
Deus Ex: The Conspiracy,PS2,2002,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21,81.0,25.0,8.9,50.0,M,Game Lawas
MLB 10: The Show,PSP,2010,Sports,Sony Computer Entertainment,0.19,0.0,0.0,0.02,0.21,79.0,11.0,6.6,8.0,E,Game Baru
Unreal II: The Awakening,X,2004,Shooter,Atari,0.17,0.04,0.0,0.01,0.21,64.0,27.0,5.3,20.0,M,Game Lawas
Rumble Racing,PS2,2001,Racing,Electronic Arts,0.1,0.08,0.0,0.03,0.21,85.0,17.0,8.2,9.0,E,Game Lawas
Spider-Man: Web of Shadows,PS2,2008,Action,Activision,0.1,0.08,0.0,0.03,0.21,69.0,4.0,4.1,16.0,E10+,Game Baru
Vampire Rain,X360,2007,Action,Microsoft Game Studios,0.18,0.0,0.01,0.01,0.21,38.0,45.0,2.9,44.0,M,Game Baru
Batman Begins,X,2005,Action,Electronic Arts,0.16,0.04,0.0,0.01,0.21,65.0,56.0,7.1,21.0,T,Game Lawas
FIFA 16,PC,2015,Sports,Electronic Arts,0.06,0.13,0.0,0.02,0.21,81.0,10.0,4.4,299.0,E,Game Baru
JSRF: Jet Set Radio Future,X,2002,Action,Sega,0.13,0.04,0.03,0.01,0.21,88.0,36.0,8.2,103.0,T,Game Lawas
NHL Hitz 20-02,GC,2001,Sports,Midway Games,0.16,0.04,0.0,0.01,0.21,79.0,13.0,8.7,7.0,E,Game Lawas
J Stars Victory Vs.,PSV,2014,Fighting,Namco Bandai Games,0.0,0.03,0.17,0.01,0.21,74.0,5.0,7.9,29.0,T,Game Baru
Way of the Samurai 3,X360,2009,Action,Gamebridge,0.12,0.05,0.02,0.02,0.21,55.0,22.0,7.0,17.0,M,Game Baru
NCAA Football 2003,GC,2002,Sports,Electronic Arts,0.16,0.04,0.0,0.01,0.21,91.0,11.0,8.1,9.0,E,Game Lawas
de Blob 2,PS3,2011,Platform,THQ,0.11,0.07,0.0,0.03,0.21,74.0,50.0,7.1,34.0,E10+,Game Baru
Hitman: HD Trilogy,PS3,2013,Action,Square Enix,0.07,0.09,0.0,0.04,0.21,71.0,20.0,7.6,47.0,M,Game Baru
ESPN Winter X Games: Snowboarding 2002,PS2,2000,Sports,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.21,64.0,14.0,7.9,8.0,T,Game Lawas
Prison Break: The Conspiracy,X360,2010,Action,Deep Silver,0.07,0.11,0.0,0.02,0.21,40.0,37.0,4.7,19.0,T,Game Baru
Final Fantasy Fables: Chocobos Dungeon,Wii,2007,Role-Playing,Square Enix,0.09,0.0,0.11,0.01,0.21,76.0,34.0,8.0,20.0,E10+,Game Baru
The Legend of Heroes: Trails of Cold Steel,PS3,2013,Role-Playing,Nippon Ichi Software,0.06,0.02,0.12,0.02,0.21,86.0,12.0,7.7,129.0,T,Game Baru
Project: Snowblind,PS2,2005,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21,78.0,54.0,8.3,23.0,T,Game Lawas
You Dont Know Jack,Wii,2011,Misc,THQ,0.19,0.0,0.0,0.01,0.21,81.0,5.0,7.7,6.0,T,Game Baru
Mortal Kombat: Special Forces,PS,2000,Fighting,Midway Games,0.12,0.08,0.0,0.01,0.21,28.0,7.0,2.4,17.0,M,Game Lawas
The Last Airbender,Wii,2010,Action,THQ,0.12,0.07,0.0,0.02,0.21,53.0,4.0,6.6,5.0,T,Game Baru
NCAA March Madness 07,X360,2007,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,67.0,33.0,7.1,15.0,E,Game Baru
The Con,PSP,2005,Fighting,Sony Computer Entertainment,0.19,0.0,0.0,0.02,0.21,63.0,37.0,7.3,16.0,T,Game Lawas
StokEd,X360,2009,Sports,Zushi Games,0.18,0.01,0.0,0.01,0.21,68.0,34.0,8.6,19.0,T,Game Baru
Evil Dead: Regeneration,PS2,2005,Action,THQ,0.1,0.08,0.0,0.03,0.21,68.0,26.0,8.5,8.0,M,Game Lawas
Defiance,PC,2013,Shooter,Trion Worlds,0.14,0.04,0.0,0.02,0.21,64.0,40.0,6.5,661.0,M,Game Baru
Frogger 3D,3DS,2011,Action,Konami Digital Entertainment,0.16,0.03,0.0,0.01,0.21,54.0,11.0,5.5,8.0,E,Game Baru
NHL 2003,X,2002,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.21,80.0,12.0,7.9,12.0,E,Game Lawas
Tiger Woods PGA Tour,PSP,2005,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,78.0,25.0,7.4,14.0,E,Game Lawas
NHL 2K3,PS2,2002,Sports,Sega,0.1,0.08,0.0,0.03,0.21,89.0,25.0,7.8,17.0,E,Game Lawas
You Dont Know Jack,X360,2011,Misc,THQ,0.19,0.0,0.0,0.01,0.21,82.0,23.0,7.9,29.0,T,Game Baru
Final Fight One,GBA,2001,Fighting,Ubisoft,0.09,0.03,0.08,0.0,0.21,82.0,16.0,7.8,8.0,E,Game Lawas
Gallop Racer 2003: A New Breed,PS2,2002,Sports,Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21,68.0,16.0,8.5,15.0,E,Game Lawas
Blue Dragon Plus,DS,2008,Role-Playing,Ignition Entertainment,0.12,0.03,0.05,0.01,0.21,69.0,46.0,6.5,15.0,E,Game Baru
BeyBlade VForce: Super Tournament Battle,GC,2002,Action,Atari,0.16,0.04,0.0,0.01,0.21,33.0,6.0,7.1,19.0,E,Game Lawas
Dead to Rights: Retribution,X360,2010,Shooter,Namco Bandai Games,0.11,0.08,0.0,0.02,0.21,61.0,64.0,7.0,34.0,M,Game Baru
NBA Live 14,XOne,2013,Sports,Electronic Arts,0.17,0.02,0.0,0.02,0.21,36.0,14.0,3.1,88.0,E,Game Baru
Lost Planet 3,PS3,2013,Shooter,Capcom,0.07,0.05,0.06,0.02,0.21,61.0,30.0,5.5,102.0,T,Game Baru
Dragon Ball Z: Sagas,GC,2005,Fighting,Atari,0.16,0.04,0.0,0.01,0.21,48.0,11.0,6.6,11.0,T,Game Lawas
X2: Wolverines Revenge,X,2003,Platform,Activision,0.15,0.04,0.0,0.01,0.21,58.0,27.0,6.4,9.0,T,Game Lawas
Tenchu: Shadow Assassins,Wii,2008,Action,Ubisoft,0.15,0.01,0.03,0.01,0.21,70.0,35.0,7.8,24.0,M,Game Baru
Power Rangers: Wild Force,GBA,2002,Action,THQ,0.15,0.05,0.0,0.0,0.21,55.0,4.0,6.9,8.0,E,Game Lawas
Beyblade G-Revolution,GBA,2004,Action,Atari,0.15,0.05,0.0,0.0,0.2,40.0,5.0,7.8,5.0,E,Game Lawas
Capcom Fighting Evolution,PS2,2004,Fighting,Capcom,0.1,0.08,0.0,0.03,0.2,57.0,33.0,4.8,5.0,T,Game Lawas
Anarchy Reigns,PS3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.2,71.0,35.0,8.2,106.0,M,Game Baru
Mobile Suit Gundam: Crossfire,PS3,2006,Simulation,Namco Bandai Games,0.06,0.0,0.14,0.01,0.2,33.0,31.0,5.1,47.0,T,Game Lawas
Suikoden Tactics,PS2,2005,Strategy,Konami Digital Entertainment,0.06,0.05,0.07,0.02,0.2,68.0,31.0,8.6,17.0,T,Game Lawas
NCAA March Madness 06,X,2005,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,76.0,21.0,7.2,5.0,E,Game Lawas
Sniper: Ghost Warrior 2,X360,2013,Shooter,City Interactive,0.06,0.12,0.0,0.02,0.2,52.0,33.0,5.7,110.0,M,Game Baru
EVE Online,PC,2003,Role-Playing,CCP,0.0,0.19,0.0,0.01,0.2,69.0,22.0,7.4,282.0,T,Game Lawas
Phantasy Star Online,DC,2000,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,89.0,21.0,9.1,33.0,T,Game Lawas
Crazy Taxi 3: High Roller,X,2002,Racing,Sega,0.14,0.04,0.02,0.01,0.2,69.0,33.0,8.5,13.0,T,Game Lawas
Midnight Club 3: DUB Edition Remix,X,2006,Racing,Take-Two Interactive,0.15,0.04,0.0,0.01,0.2,87.0,16.0,5.3,18.0,E10+,Game Lawas
"Warhammer 40,000: Space Marine",PC,2011,Shooter,THQ,0.09,0.09,0.0,0.03,0.2,74.0,34.0,7.4,598.0,M,Game Baru
Dungeon Hunter Alliance,PSV,2012,Action,Ubisoft,0.08,0.09,0.0,0.03,0.2,49.0,34.0,6.4,61.0,T,Game Baru
Thrillville,PSP,2006,Strategy,Atari,0.18,0.0,0.0,0.02,0.2,72.0,13.0,2.8,39.0,E10+,Game Lawas
The King of Fighters Collection: The Orochi Saga,PS2,2006,Fighting,Ignition Entertainment,0.1,0.08,0.0,0.03,0.2,67.0,14.0,8.5,4.0,T,Game Lawas
Disney's Planes,WiiU,2013,Simulation,Disney Interactive Studios,0.14,0.04,0.0,0.02,0.2,51.0,10.0,5.3,9.0,E,Game Baru
MLB SlugFest 20-03,X,2002,Sports,Midway Games,0.15,0.04,0.0,0.01,0.2,79.0,9.0,7.8,5.0,E,Game Lawas
Pitfall: The Lost Expedition,PS2,2004,Platform,Activision,0.1,0.08,0.0,0.03,0.2,70.0,34.0,8.9,12.0,E,Game Lawas
Need for Speed Carbon: Own the City,DS,2006,Racing,Electronic Arts,0.17,0.01,0.0,0.02,0.2,70.0,6.0,7.5,15.0,E,Game Lawas
Zone of the Enders HD Collection,X360,2012,Simulation,Konami Digital Entertainment,0.14,0.03,0.01,0.02,0.2,75.0,21.0,8.8,20.0,M,Game Baru
Enchanted Arms,PS3,2007,Role-Playing,Ubisoft,0.17,0.01,0.0,0.02,0.2,64.0,23.0,6.0,41.0,T,Game Baru
Silent Hill: Book of Memories,PSV,2012,Action,Konami Digital Entertainment,0.11,0.05,0.0,0.04,0.2,58.0,57.0,5.1,103.0,M,Game Baru
Le Mans 24 Hours,PS2,2001,Racing,Infogrames,0.09,0.07,0.02,0.02,0.2,75.0,19.0,7.6,9.0,E,Game Lawas
Senran Kagura: Estival Versus,PSV,2015,Action,Marvelous Interactive,0.05,0.03,0.09,0.03,0.2,71.0,4.0,7.4,34.0,M,Game Baru
Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,Namco Bandai Games,0.19,0.0,0.0,0.02,0.2,57.0,16.0,6.4,11.0,E,Game Baru
Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,0.09,0.01,0.06,0.04,0.2,60.0,19.0,7.4,58.0,M,Game Baru
Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.14,0.05,0.0,0.0,0.2,82.0,8.0,9.2,40.0,E,Game Lawas
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.09,0.09,0.01,0.02,0.2,74.0,6.0,8.0,11.0,E10+,Game Baru
Major League Baseball 2K11,PS3,2011,Sports,Take-Two Interactive,0.15,0.03,0.0,0.02,0.2,72.0,13.0,6.3,9.0,E,Game Baru
X2: Wolverines Revenge,GBA,2003,Platform,Activision,0.14,0.05,0.0,0.0,0.2,72.0,8.0,7.2,5.0,E,Game Lawas
NBA 2K2,X,2002,Sports,Sega,0.15,0.04,0.0,0.01,0.2,90.0,17.0,7.6,5.0,E,Game Lawas
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.05,0.02,0.13,0.01,0.2,75.0,29.0,8.2,38.0,T,Game Baru
Code of Princess,3DS,2012,Action,Agatsuma Entertainment,0.16,0.0,0.03,0.01,0.2,67.0,38.0,7.6,73.0,T,Game Baru
Dark Messiah of Might and Magic Elements,X360,2008,Role-Playing,Ubisoft,0.16,0.02,0.01,0.02,0.2,52.0,27.0,7.0,48.0,M,Game Baru
Planet 51,Wii,2009,Action,Sega,0.17,0.01,0.0,0.02,0.2,53.0,6.0,5.8,4.0,E,Game Baru
Dead to Rights II,PS2,2005,Shooter,Electronic Arts,0.1,0.08,0.0,0.03,0.2,51.0,32.0,5.3,7.0,M,Game Lawas
Kung Fu Rider,PS3,2010,Action,Sony Computer Entertainment,0.06,0.09,0.01,0.03,0.2,36.0,45.0,3.7,21.0,E10+,Game Baru
DarkStar One: Broken Alliance,X360,2010,Simulation,Kalypso Media,0.11,0.07,0.0,0.02,0.2,63.0,33.0,7.2,19.0,T,Game Baru
Ty the Tasmanian Tiger 2: Bush Rescue,GC,2004,Platform,Electronic Arts,0.15,0.04,0.0,0.01,0.2,70.0,20.0,8.5,12.0,E,Game Lawas
Body and Brain Connection,X360,2010,Misc,Namco Bandai Games,0.1,0.08,0.0,0.02,0.2,57.0,33.0,4.8,4.0,E,Game Baru
Dragon Ball: Revenge of King Piccolo,Wii,2009,Action,Namco Bandai Games,0.12,0.03,0.03,0.02,0.2,65.0,25.0,7.3,15.0,E10+,Game Baru
Warriors Orochi,PSP,2008,Action,Tecmo Koei,0.02,0.0,0.18,0.0,0.2,62.0,13.0,6.6,10.0,T,Game Baru
MVP Baseball 2003,X,2003,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,82.0,18.0,9.0,9.0,E,Game Lawas
Infinite Space,DS,2009,Role-Playing,Sega,0.06,0.05,0.07,0.01,0.2,75.0,46.0,9.0,61.0,T,Game Baru
Monster Jam,X360,2007,Racing,Activision,0.18,0.0,0.0,0.02,0.2,43.0,9.0,6.4,5.0,E,Game Baru
UFC Personal Trainer: The Ultimate Fitness System,PS3,2011,Sports,THQ,0.09,0.08,0.0,0.03,0.2,65.0,8.0,2.4,5.0,E,Game Baru
Two Worlds II,PC,2011,Role-Playing,SouthPeak Games,0.09,0.09,0.0,0.02,0.2,76.0,31.0,6.5,316.0,M,Game Baru
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",X,2005,Action,Disney Interactive Studios,0.15,0.04,0.0,0.01,0.2,72.0,31.0,6.0,6.0,T,Game Lawas
NBA 07,PSP,2006,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2,68.0,24.0,7.0,5.0,E,Game Lawas
Tekken 3D: Prime Edition,3DS,2012,Fighting,Nintendo,0.06,0.07,0.05,0.01,0.2,64.0,42.0,5.9,39.0,T,Game Baru
IHRA Drag Racing 2004,X,2003,Racing,Bethesda Softworks,0.15,0.04,0.0,0.01,0.2,40.0,5.0,7.4,7.0,E,Game Lawas
Clive Barkers Jericho,PS3,2007,Shooter,Codemasters,0.17,0.01,0.0,0.02,0.2,60.0,34.0,7.1,52.0,M,Game Baru
Marvel: Ultimate Alliance 2,DS,2009,Role-Playing,Activision,0.16,0.03,0.0,0.02,0.2,65.0,7.0,6.7,9.0,E10+,Game Baru
Front Mission Evolved,X360,2010,Shooter,Square Enix,0.1,0.07,0.02,0.02,0.2,58.0,52.0,6.1,24.0,T,Game Baru
Apache: Air Assault,PS3,2010,Simulation,Activision,0.11,0.06,0.0,0.03,0.2,66.0,17.0,6.1,12.0,T,Game Baru
From Russia With Love,X,2005,Action,Electronic Arts,0.15,0.04,0.0,0.01,0.2,71.0,34.0,8.8,12.0,T,Game Lawas
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.08,0.09,0.0,0.03,0.2,53.0,40.0,5.9,231.0,M,Game Baru
Grandia II,DC,2000,Role-Playing,Ubisoft,0.0,0.0,0.2,0.0,0.2,90.0,17.0,8.8,57.0,T,Game Lawas
Ridge Racer 6,X360,2005,Racing,Namco Bandai Games,0.1,0.02,0.07,0.01,0.2,74.0,65.0,7.1,28.0,E,Game Lawas
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PS2,2005,Action,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.2,53.0,20.0,7.0,10.0,E10+,Game Lawas
Record of Agarest War,X360,2008,Role-Playing,Compile Heart,0.18,0.0,0.01,0.01,0.2,71.0,7.0,7.0,35.0,T,Game Baru
Earth Defense Force: Insect Armageddon,PS3,2011,Shooter,D3Publisher,0.06,0.04,0.08,0.02,0.2,63.0,28.0,7.0,24.0,T,Game Baru
Gladius,PS2,2003,Strategy,Activision,0.1,0.08,0.0,0.03,0.2,78.0,27.0,8.0,22.0,T,Game Lawas
Dave Mirra Freestyle BMX 2,X,2001,Sports,Acclaim Entertainment,0.15,0.04,0.0,0.01,0.2,76.0,18.0,8.2,6.0,T,Game Lawas
SpongeBob SquarePants: Revenge of the Flying Dutchman,GC,2002,Platform,THQ,0.15,0.04,0.0,0.01,0.2,66.0,4.0,8.3,10.0,E,Game Lawas
XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.07,0.09,0.0,0.03,0.2,88.0,28.0,7.8,131.0,T,Game Baru
Resident Evil: Revelations,WiiU,2013,Action,Capcom,0.08,0.07,0.03,0.01,0.2,80.0,19.0,7.5,149.0,M,Game Baru
Taiko Drum Master,PS2,2004,Misc,Namco Bandai Games,0.1,0.08,0.0,0.03,0.2,77.0,35.0,8.1,8.0,E,Game Lawas
DanceMasters,X360,2010,Misc,Konami Digital Entertainment,0.15,0.02,0.02,0.01,0.2,63.0,30.0,6.4,8.0,E10+,Game Baru
Soldier of Fortune: Payback,X360,2007,Shooter,Activision,0.18,0.0,0.0,0.02,0.2,50.0,35.0,5.6,20.0,M,Game Baru
Forgotten Realms: Demon Stone,PS2,2004,Action,Atari,0.1,0.08,0.0,0.03,0.2,71.0,40.0,6.8,18.0,T,Game Lawas
Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0.0,0.03,0.2,65.0,52.0,6.1,27.0,M,Game Baru
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.07,0.07,0.03,0.03,0.2,63.0,30.0,7.3,45.0,T,Game Baru
Playboy: The Mansion,PS2,2005,Simulation,Ubisoft,0.1,0.08,0.0,0.03,0.2,59.0,33.0,7.5,18.0,M,Game Lawas
Baja: Edge of Control,X360,2008,Racing,THQ,0.12,0.06,0.0,0.02,0.2,65.0,35.0,7.1,18.0,E,Game Baru
Tiger Woods PGA Tour 06,PSP,2005,Sports,Electronic Arts,0.18,0.0,0.0,0.01,0.2,80.0,15.0,7.9,8.0,E,Game Lawas
Bleach: The 3rd Phantom,DS,2008,Role-Playing,Sega,0.1,0.02,0.07,0.01,0.2,59.0,28.0,8.0,10.0,T,Game Baru
Untold Legends: Dark Kingdom,PS3,2006,Role-Playing,Electronic Arts,0.14,0.02,0.02,0.02,0.2,58.0,40.0,7.2,36.0,T,Game Lawas
MC Groovz Dance Craze,GC,2004,Misc,Mad Catz,0.15,0.04,0.0,0.01,0.2,42.0,8.0,6.8,9.0,E,Game Lawas
The Thing,X,2002,Adventure,Vivendi Games,0.15,0.04,0.0,0.01,0.2,78.0,21.0,6.6,14.0,M,Game Lawas
Plants vs. Zombies,PS3,2011,Strategy,PopCap Games,0.18,0.0,0.0,0.02,0.2,85.0,8.0,7.9,61.0,E10+,Game Baru
Baldurs Gate: Dark Alliance,X,2002,Role-Playing,Virgin Interactive,0.15,0.04,0.0,0.01,0.2,83.0,25.0,8.3,26.0,T,Game Lawas
Prince of Persia: Warrior Within,GC,2004,Action,Ubisoft,0.15,0.04,0.0,0.01,0.2,83.0,31.0,8.6,21.0,M,Game Lawas
Arcana Heart 3,PS3,2011,Fighting,PQube,0.04,0.04,0.1,0.02,0.2,73.0,10.0,7.5,27.0,T,Game Baru
Tom Clancys Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,0.05,0.13,0.0,0.02,0.2,82.0,13.0,7.4,755.0,M,Game Baru
ReCore,XOne,2016,Action,Microsoft Game Studios,0.12,0.05,0.01,0.02,0.2,63.0,75.0,6.6,457.0,T,Game Baru
Warriors Orochi,X360,2007,Action,Tecmo Koei,0.17,0.01,0.0,0.02,0.2,53.0,27.0,7.4,13.0,T,Game Baru
Armored Core 4,PS3,2006,Simulation,505 Games,0.09,0.0,0.09,0.01,0.2,65.0,36.0,6.8,25.0,T,Game Lawas
Predator: Concrete Jungle,PS2,2005,Action,Vivendi Games,0.1,0.07,0.0,0.03,0.2,47.0,14.0,8.8,76.0,M,Game Lawas
X-Men Origins: Wolverine,DS,2009,Action,Activision,0.15,0.03,0.0,0.02,0.2,55.0,8.0,8.1,8.0,E10+,Game Baru
Big Mutha Truckers 2,PS2,2005,Racing,Xplosiv,0.1,0.07,0.0,0.03,0.2,51.0,26.0,2.1,9.0,M,Game Lawas
Solatorobo: Red the Hunter,DS,2010,Role-Playing,Nintendo,0.08,0.04,0.07,0.01,0.2,76.0,40.0,8.0,24.0,E10+,Game Baru
Castlevania: Lords of Shadow 2,PS3,2014,Action,Konami Digital Entertainment,0.03,0.12,0.02,0.03,0.2,63.0,55.0,7.7,530.0,M,Game Baru
NHL FaceOff 2001,PS2,2001,Sports,Sony Computer Entertainment,0.1,0.07,0.0,0.02,0.2,57.0,11.0,4.0,4.0,E,Game Lawas
Mana Khemia 2: Fall of Alchemy,PS2,2008,Role-Playing,Gust,0.07,0.05,0.05,0.02,0.2,70.0,12.0,8.2,17.0,T,Game Baru
The Great Escape,PS2,2003,Action,SCi,0.1,0.07,0.0,0.02,0.2,57.0,19.0,8.0,21.0,T,Game Lawas
Sword Art Online: Hollow Realization,PSV,2016,Role-Playing,Namco Bandai Games,0.0,0.07,0.11,0.02,0.2,60.0,5.0,6.9,11.0,T,Game Baru
Way of the Samurai 4,PS3,2011,Action,Nippon Ichi Software,0.0,0.03,0.16,0.01,0.2,58.0,25.0,6.5,15.0,M,Game Baru
Big Mutha Truckers,X,2002,Racing,Empire Interactive,0.15,0.04,0.0,0.01,0.19,59.0,12.0,4.3,9.0,T,Game Lawas
The Hobbit,GBA,2003,Platform,Vivendi Games,0.14,0.05,0.0,0.0,0.19,67.0,6.0,9.2,17.0,E,Game Lawas
The King of Fighters XI,PS2,2006,Fighting,Ignition Entertainment,0.07,0.06,0.04,0.02,0.19,75.0,30.0,8.5,15.0,T,Game Lawas
Tom Clancys Splinter Cell: Essentials,PSP,2006,Shooter,Ubisoft,0.17,0.01,0.0,0.02,0.19,58.0,37.0,7.5,39.0,M,Game Lawas
Dead Space 3,PC,2013,Action,Electronic Arts,0.02,0.16,0.0,0.02,0.19,78.0,16.0,6.0,1104.0,M,Game Baru
Family Guy,PSP,2006,Action,Take-Two Interactive,0.18,0.0,0.0,0.02,0.19,51.0,14.0,6.3,15.0,M,Game Lawas
Major League Baseball 2K12,PS3,2012,Sports,Take-Two Interactive,0.18,0.0,0.0,0.02,0.19,68.0,8.0,4.4,5.0,E,Game Baru
Harry Potter and the Goblet of Fire,PSP,2005,Action,Electronic Arts,0.17,0.0,0.0,0.02,0.19,70.0,13.0,7.4,16.0,E10+,Game Lawas
Sniper Elite,PS2,2005,Shooter,Ubisoft,0.1,0.07,0.0,0.02,0.19,76.0,21.0,8.9,36.0,M,Game Lawas
Breath of Fire II,GBA,2001,Role-Playing,Ubisoft,0.14,0.05,0.0,0.0,0.19,81.0,16.0,8.6,17.0,E,Game Lawas
Test Drive Unlimited 2,PC,2011,Racing,Atari,0.05,0.11,0.0,0.03,0.19,72.0,19.0,5.7,255.0,T,Game Baru
Conan,X360,2007,Action,THQ,0.16,0.02,0.0,0.01,0.19,69.0,49.0,7.3,67.0,M,Game Baru
No More Heroes: Heroes Paradise,PS3,2010,Action,Konami Digital Entertainment,0.1,0.04,0.04,0.02,0.19,72.0,38.0,7.3,38.0,M,Game Baru
Captain America: Super Soldier,PS3,2011,Action,Sega,0.1,0.06,0.0,0.03,0.19,61.0,34.0,7.3,40.0,T,Game Baru
Aliens vs Predator,PC,2010,Shooter,Sega,0.0,0.17,0.0,0.02,0.19,68.0,35.0,7.4,986.0,M,Game Baru
Manhunt,X,2004,Action,Take-Two Interactive,0.14,0.04,0.0,0.01,0.19,74.0,37.0,7.9,19.0,M,Game Lawas
NCAA Final Four 2003,PS2,2002,Sports,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,57.0,16.0,6.0,4.0,E,Game Lawas
Evolve,PC,2015,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,77.0,39.0,4.3,972.0,M,Game Baru
Dynasty Warriors: Gundam 2,X360,2008,Action,Namco Bandai Games,0.07,0.03,0.08,0.01,0.19,49.0,30.0,7.0,18.0,T,Game Baru
Spectrobes: Origins,Wii,2009,Role-Playing,Disney Interactive Studios,0.16,0.02,0.0,0.01,0.19,71.0,22.0,8.4,16.0,E10+,Game Baru
Breath of Fire: Dragon Quarter,PS2,2002,Role-Playing,Capcom,0.09,0.07,0.0,0.02,0.19,78.0,28.0,6.9,35.0,T,Game Lawas
Shiren the Wanderer,Wii,2008,Role-Playing,Sega,0.08,0.0,0.11,0.01,0.19,71.0,21.0,7.6,5.0,T,Game Baru
Dantes Inferno,PSP,2010,Action,Electronic Arts,0.12,0.03,0.01,0.02,0.19,70.0,14.0,8.1,46.0,M,Game Baru
Shaun White Skateboarding,PS3,2010,Sports,Ubisoft,0.12,0.05,0.0,0.03,0.19,61.0,26.0,6.5,8.0,T,Game Baru
Spore Hero Arena,DS,2009,Simulation,Electronic Arts,0.18,0.0,0.0,0.01,0.19,49.0,11.0,2.6,8.0,E,Game Baru
Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,Nintendo,0.15,0.04,0.0,0.01,0.19,50.0,9.0,8.9,10.0,E,Game Lawas
Enchanted Arms,X360,2006,Role-Playing,Ubisoft,0.16,0.02,0.0,0.02,0.19,69.0,54.0,6.9,60.0,T,Game Lawas
Conflict: Denied Ops,X360,2008,Shooter,Eidos Interactive,0.08,0.09,0.0,0.02,0.19,52.0,35.0,4.9,22.0,M,Game Baru
Mace Griffin: Bounty Hunter,PS2,2003,Shooter,Electronic Arts,0.09,0.07,0.0,0.02,0.19,62.0,19.0,8.3,7.0,M,Game Lawas
Legacy of Kain: Defiance,X,2003,Action,Eidos Interactive,0.14,0.04,0.0,0.01,0.19,74.0,30.0,7.9,21.0,M,Game Lawas
Final Fantasy XI,X360,2006,Role-Playing,Square Enix,0.17,0.01,0.0,0.01,0.19,66.0,25.0,6.5,33.0,T,Game Lawas
Fighter Within,XOne,2013,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.19,23.0,39.0,3.0,211.0,T,Game Baru
Peter Jacksons King Kong: The Official Game of the Movie,PSP,2005,Action,Ubisoft,0.16,0.01,0.0,0.02,0.19,56.0,10.0,6.4,22.0,T,Game Lawas
Shrek: Forever After,PS3,2010,Platform,Activision,0.16,0.02,0.0,0.02,0.19,57.0,11.0,4.5,6.0,E10+,Game Baru
Aliens versus Predator: Extinction,PS2,2003,Strategy,Electronic Arts,0.09,0.07,0.0,0.02,0.19,66.0,17.0,8.4,30.0,T,Game Lawas
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.09,0.0,0.08,0.02,0.19,67.0,25.0,8.0,96.0,M,Game Baru
X-Men Origins: Wolverine,PSP,2009,Action,Activision,0.13,0.03,0.0,0.03,0.19,60.0,6.0,7.5,12.0,T,Game Baru
NHL Hitz Pro,PS2,2003,Sports,Midway Games,0.09,0.07,0.0,0.02,0.19,79.0,23.0,8.9,13.0,E,Game Lawas
